itemID,itemName,description,price,priceGroup,isExpensive,category,isClothesCat,isSportsCat,isElectronicsCat,isHomeCat,isHobbyCat,isBooksCat,isAccessoryCat,isFunCat,isSmartCat,isToyCat,isKitchenCat,isPersonalCat
1,Popcornmaskin Cinema Style ,"Med vår biografstylade popcornmaskin finns alltid en näve färska popcorn hemma, liksom en snygg köksapparat som får - nej, ska! - stå mitt i bild.",599,3,0,Electronics,0,0,1,1,0,0,0,1,0,1,1,0
2,Kitchen Safe ,"Som ett kassaskåp med timerfunktion, perfekt för kakor, fjärrkontroller och annat som lätt distraherar dig. Lås in och koppla av, för ingen annan kommer åt grejerna medan de ligger i Kitchen Safe.",499,2,0,Electronics,0,0,1,1,0,0,0,1,1,0,1,1
3,Massage,Unna dig själv eller en vän en klassisk massage. En massagebehandling kan vara enbart en stund för avslappning och återhämtning eller innehålla behandlande moment som tryck och stretching. Man väljer själv inriktning i samråd med massören.,445,2,0,Personal,0,0,0,0,1,0,0,1,0,0,0,1
4,Sko-lampa,Sko-lampan är en lysande uppfinning för alla som vill synas tydligt ute i mörkret under ambitiösa joggingturer.,195,1,0,Sports,0,1,1,0,0,0,1,0,0,0,0,1
5,Tid : livet är inte kronologiskt,"Tiden är ett tema som Alex Schulman och Sigge Eklund ständigt återkommer till i krönikor, på middagar med vänner och i sin podcast som är Sveriges mest populära med mer än en halv miljon lyssnare.",188,1,0,Books,0,0,0,0,1,1,0,0,1,0,0,0
6,Core HTML5 2D Game Programming,"Game programming offers a wealth of creative and business opportunities, and its never been more accessible. In Core HTML5 2D Game Programming, best-selling author David Geary shows you how to use freely available browser tools and open source resources to create video games that run in desktop browsers and on mobile devices.",295,2,0,Books,0,0,0,0,1,1,0,0,1,0,0,0
7,Portabel Hängmatta ,Hängmatta med stativ för lata dagar! Tar mindre än 1 minut att fälla upp eller ner. Packa ner det i medföljande bärväska och ta med dig vart du vill!,695,3,0,Hobby,0,0,0,1,1,0,0,0,1,0,0,0
8,SleepPhones ,Stäng ute snarkningar och annat störande. Lyssna på musik utan att irritera sängpartnern. SleepPhones – bekväma hörlurar för sängen.,349,2,0,Electronics,1,0,1,1,0,0,0,0,1,0,0,1
9,Star Wars: Battlefront,"Star Wars: Battlefront ett riktigt vackert, och förvånansvärt lättdrivet, spel som fångar Star Wars-atmosfären på ett imponerande vis. Med Europalanseringen alldeles runt hörnet kan vi nu bara sätta oss ner och vänta på anstormningen av spelare och deras intryck av DICE senaste skapelse.",429,2,0,Toys,0,0,1,1,1,0,0,1,0,1,0,0
10,Herb Savor ,"Örtförvaring Klipp dina örter ur krukan, ställ dem i Herb Savor, vattna lite, placera i kylskåp och du kryddar din mat med de fräschaste av örter i flera veckor.",295,2,0,Cooking,0,0,0,1,0,0,0,0,1,0,1,0
